wikidata,title,source_psids
Q1001644,,47721891;47721893
Q101107811,,47721891;47721892
Q1017471,,47721891;47721893
Q1022438,,47721891;47721892
Q1026242,,47721891;47721892;47721893
Q1027454,,47721891;47721892;47721893
Q10313616,,47721891;47721892;47721893
Q1032091,,47721891;47721892
Q10329675,,47721891;47721892
Q1035122,,47721890;47721891;47721892
Q1035257,,47721891;47721893
Q1041750,,47721891;47721893
Q1042747,,47721891;47721893
Q104842025,,47721891;47721892
Q104848744,,47721891;47721893
Q104874287,,47721891;47721893
Q104902665,,47721891;47721893
Q1054167,,47722215
Q10546701,,47721891;47721892
Q105562107,,47721891;47721893
Q1056430,,47721891;47721892;47721893
Q10608200,,47721891;47721893
Q1061081,,47722215
Q106608867,,47721890;47721891
Q106707376,,47721891;47721893
Q106854,,47721891;47721892;47721893
Q1068671,,47721891;47721892
Q1069502,,47721891;47721892
Q107103983,,47721891;47721892;47721893
Q1071385,,47721891;47721892;47721893
Q107292901,,47721891
Q1073087,,47721891;47721892;47721893
Q108485764,,47721891;47721893
Q108550831,,47721891;47721893
Q1090523,,47721891;47721892
Q1092501,,47721891;47721893
Q1092618,,47721891;47721892
Q109356802,,47721891;47721894
Q109535189,,47721891;47721896
Q109928076,,47721891;47721894
Q110235787,,47721891
Q110269371,,47721890;47721891
Q110269679,,47721891;47721893
Q110442676,,47721891;47721893
Q1104762,,47721891;47721893
Q1110171,,47721891;47721892
Q11108502,,47721891;47721892;47721893
Q1123957,,47721891;47721894
Q112672812,,47721891;47721894
Q112701811,,47721891;47721892
Q112805944,,47721891;47721894
Q1128163,,47721891;47721892
Q11293638,,47721891;47721892
Q1129508,,47721891;47721893
Q113215,,47721891;47721893
Q11328029,,47721891;47721892;47721893
Q1134872,,47721891;47721892;47721893
Q1135433,,47721891;47721893
Q114068710,,47722215
Q1141793,,47721891;47721892
Q1142157,,47721891;47721892
Q1146659,,47721891;47721893
Q114862807,,47721890;47721891
Q1150860,,47721891;47721892
Q1154182,,47721890;47721891
Q1154608,,47721891;47721892;47721893
Q115517138,,47721890;47721891
Q115801291,,47721891;47721893
Q116290577,,47721891;47721892
Q11635826,,47721891;47721892
Q116694330,,47721890;47721891
Q116776662,,47721890;47721891;47721892
Q116814221,,47721890;47721891;47721892
Q11687605,,47721891;47721892
Q11688589,,47721891;47721893
Q11688910,,47721891;47721892;47721893
Q117061516,,47721891
Q11706909,,47721891;47721893
Q117100755,,47721891;47721892;47721893
Q117272413,,47721891;47721892;47721893
Q117312667,,47721891;47721894
Q1180058,,47721891;47721892
Q118875870,,47721891;47721893
Q11892346,,47721891;47721893
Q12045395,,47721891;47721893
Q12045421,,47721891;47721893
Q12045425,,47721891;47721893
Q12045455,,47721891;47721892;47721893
Q12045524,,47721891;47721893
Q12061436,,47721891;47721893
Q120727348,,47721891;47721893
Q120779634,,47721891;47721893
Q12084926,,47721891;47721893
Q121833101,,47721891;47721893
Q121878709,,47721891;47721892;47721893
Q1220049,,47721891;47721892;47721893
Q12221,,47721891;47721892;47721893
Q12272512,,47721891;47721893
