wikidata,name,aliases,types,makers,countries
Q1027454,Calpis,Calpico,business | juridical person | organization | dairy product | drink | enterprise | dairy drink | joint-stock company | public company,,
Q1032091,Canadian Club,CC,trademark | alcoholic beverage | drink brand | alcohol brand,Suntory Global Spirits,Canada
Q1041750,Carling,Carling Brewery,alcohol brand | beer brand | mark | trademark | food manufacturer | factory | brewery,,
Q1054167,Centre Vinicole—Champagne Nicolas Feuillatte,Champagne Nicolas Feuillatte | CV-CNF | Nicolas Feuillatte | Terroirs et Vignerons de Champagne | TEVC,corporate body | person or organization | group of humans | social system | complex system | organization,,France
Q1056430,HEINEKEN Mexico,Cerveceria Cuauhtemoc-Moctezuma | Cervecería Cuauhtémoc-Moctezuma | Cuauhtemoc Moctezuma Brewery,juridical person | organization | business | factory | brewery | food manufacturer,,
Q1061081,Pol Roger,Champagne Pol Roger,corporate body | person or organization | group of humans | social system | complex system | organization,,France
Q1068671,Martini,qwerty,alcoholic beverage | apéritif,Alessandro Martini,Italy
Q12675746,Utenos Alus,Utenos Alus brewery,food manufacturer | factory | brewery,,
Q12680342,Švyturys,"Švyturys brewery | Švyturys, AB",food manufacturer | factory | brewery,,
Q13403399,Kirin Holdings,Kirin | Kirin Beer,business | enterprise | joint-stock company | public company | company | holding company,,
Q107292901,Stonewell Cider,Nohoval Drinks Company Ltd,brewery | fruit press | business | architectural structure | organization | microbrewery | cider mill,,
Q124570849,Capital Brewing Company,Capital Brewing Co.,food manufacturer | factory | brewery,,
Q128834244,Minneapolis Brewing Company Building,Grain Belt Brewery in Minneapolis | Minneapolis Brewing Company,industrial building | brewery building,,
Q132165886,Spaghett,Spagett,mixed drink | alcoholic beverage | cocktail,,
Q136035403,ZOA Energy,"ZOA Energy drink, ZOA",artificial object | brand,,
Q136169052,Real American Beer,RAB,beer brand | alcohol brand | food manufacturer | factory | brewery,City Brewing Company,United States
Q136172441,Fierce Beer,Fierce,juridical person | organization | business | food manufacturer | factory | brewery,,
Q138846018,Zirkova Vodka,Slava | Zirkova,artificial object | brand,,
Q12221,Starobrno Brewery,STAROBRNO,juridical person | organization | enterprise | business | food manufacturer | factory | brewery,,
Q1146659,Cuvée des Trolls,Cuvee des Trolls,alcohol brand | beer brand,Dubuisson Brewery,Belgium
Q1150860,Cîroc,Ciroc | Cîroc Vodka,drink brand | trademark | alcoholic beverage | alcohol brand | mark,,United Kingdom | Italy
Q1154182,Delamain,Delamain cognac,corporate body | person or organization | group of humans | social system | complex system | organization,,
Q1180058,DeKuyper,DeKuyper Royal Distillers | Koninklijke De Kuyper,business | juridical person | organization | enterprise,,
Q1238088,DB Breweries,Dominion Breweries | Dominion Breweries Limited,juridical person | organization | business,,
Q1259448,Mount Gay Rum,Mount Gay,mark | trademark,,Barbados
Q1329485,H. P. Bulmer,Bulmers | HP Bulmer | HP Bulmers,business | juridical person | organization | enterprise,,
Q1330945,Champagne Krug,Krug,juridical person | organization | company | business | wine company | mark | trademark,,
Q1345267,Suntory,Suntory Holdings Limited | Suntory Holdings Ltd,business | juridical person | organization | enterprise | artificial object | brand,,Japan
Q1378288,Free Beer,Vores Øl,alcohol brand | beer brand | social movement | free culture movement | procedure | list | user guide | recipe,,Denmark
Q106854,Beck's,Beck's Brewery | Brauerei Beck & Co.,food manufacturer | factory | brewery,,
Q113215,Carlsberg Group,Carlsberg,business | juridical person | organization | enterprise | joint-stock company | public company | food manufacturer | factory | brewery,,Denmark
Q1001644,Budweiser Budvar,"Budějovický Budvar | Budějovický Budvar, národní podnik | Budějovický Budvar, národní podnik, Budweiser Budvar, National Corporation, Budweiser Budvar, Entreprise Nationale | Budweiser Budvar, Entreprise Nationale | Budweiser Budvar, National Coaation | Czechvar",juridical person | organization | business | food manufacturer | factory | brewery,,
Q1017471,Bush,Amber Bush | Bush 12,alcohol brand | beer brand,Dubuisson Brewery,Belgium
Q1399467,Jose Cuervo,Tequila Jose Cuervo,drink brand | trademark | alcoholic beverage | alcohol brand | artificial object | brand,,Mexico
Q1407305,Coors Brewing Company,Coors,juridical person | organization | business | food manufacturer | factory | brewery,,
Q1414562,Privatbrauerei Wittingen,Privatbrauerei Wittingen GmbH,food manufacturer | factory | brewery,,
Q1416717,InBev Belgium,InBev,juridical person | organization | business,,
Q10329675,Midleton Very Rare,Midleton Barry Crockett Legacy | Midleton Dair Ghaelach,food and beverage | liquid | drink,Irish Distillers,Ireland
Q11293638,Grand Old Parr,Old Parr,whisky | blended whiskey | Scotch whisky,Diageo,
Q11635826,Akadama,Akadama port wine | Akadama sweet wine,,,
Q11688910,Browar Warka,Warka,food manufacturer | factory | brewery,,
Q12045395,Family Brewery Bernard,Bernard Brewery | Humpolec Brewery,business | enterprise | food manufacturer | factory | brewery,,
Q12045425,Pivovar Polička,Měšťanský pivovar v Poličce,food manufacturer | factory | brewery,,
Q12045455,Pivovar Žatec,Žatecký pivovar,business | enterprise | food manufacturer | factory | brewery,,
Q127305,Paulaner Brewery,,juridical person | organization | business | food manufacturer | factory | brewery,,
Q128270,Astika Brewery,,food manufacturer | factory | brewery,,
Q129330,Hanoi Beer,,legal person | organization | company | mark | trademark,,
Q1022438,C.C. Lemon,,food brand | drink brand,Suntory,Japan
Q1026242,Calanda Bräu,,alcohol brand | beer brand | mark | trademark,,
