wikidata,name,aliases,types,makers,countries,reject_reason
Q1027454,Calpis,Calpico,business | juridical person | organization | dairy product | drink | enterprise | dairy drink | joint-stock company | public company,,,non_alcohol_drink
Q1519908,list of vodkas,,list | Wikimedia list article | Wikimedia internal item | Wikimedia article page,,,meta_page
Q1664938,list of brewing companies in Germany,,Wikimedia internal item | Wikimedia article page | list | Wikimedia list article,,,meta_page
Q16821377,list of Molson Coors brands,,Wikimedia internal item | Wikimedia article page | list | Wikimedia list article,,,meta_page
Q2336387,list of Champagne houses,,Wikimedia list article | Wikimedia internal item | Wikimedia article page | list,,,meta_page
Q2783114,list of rum producers,,Wikimedia list article | Wikimedia internal item | Wikimedia article page | list,,,meta_page
Q22236235,list of cider and perry producers in the United Kingdom,,Wikimedia list article | Wikimedia internal item | Wikimedia article page | list,,,meta_page
Q25084910,list of Heineken brands,,Wikimedia list article | Wikimedia internal item | Wikimedia article page | list,,,meta_page
Q3764535,list of whisky brands,,Wikimedia internal item | Wikimedia article page | list | Wikimedia list article,,,meta_page
Q4993891,Solo,,artificial object | brand | sugary drink | non-alcoholic beverage | soft drink,Schweppes Australia | Asahi Breweries,Australia,non_alcohol_drink
Q691552,list of beer and breweries by region,,Wikimedia internal item | Wikimedia article page | list | Wikimedia list article,,,meta_page
Q6609493,list of cider brands,,Wikimedia internal item | Wikimedia article page | list | Wikimedia list article,,,meta_page
Q6625475,list of liqueurs,,Wikimedia internal item | Wikimedia article page | list | Wikimedia list article,,,meta_page
