id,keyword,keyword_variants,optional,category,country,maker,extra,sources,aka
Kwilu Rum,kwilu-rum,kwilu-rum,democratic-republic-of-congo,rum,Democratic Republic of Congo,,,rum_brands,
Safari Rum,safari-rum,safari-rum,kenya,rum,Kenya,,,rum_brands,
Rhum Charrette,rhum-charrette,rhum-charrette,rum|la-reunion,rum,La Réunion,,,rum_brands,
Riviere du Mat,riviere-du-mat,riviere-du-mat,rum|la-reunion|reunion,rum,La Réunion,,La Réunion,french_rums|rum_brands,
Savanna,savanna,savanna,rum|la-reunion|reunion,rum,La Réunion,,La Réunion,french_rums|rum_brands|twe_brands,
Groupe Vidzar,groupe-vidzar,groupe-vidzar,rum|madagascar,rum,Madagascar,,,rum_brands,
New Grove,new-grove,new-grove,rum|liqueur|mauritius,rum|liqueur,Mauritius,,,rum_brands|twe_brands,
Penny Blue,penny-blue,penny-blue,rum|mauritius,rum,Mauritius,,,rum_brands,
Pink Pigeon,pink-pigeon,pink-pigeon,rum|mauritius,rum,Mauritius,,,rum_brands,
Saint-Aubin,saint-aubin,saint-aubin,rum|mauritius,rum,Mauritius,,,rum_brands,
Takamaka,takamaka,takamaka,rum|liqueur|seychelles,rum|liqueur,Seychelles,,,rum_brands|twe_brands,
Mainstay Original Premium,mainstay-original-premium,mainstay-original-premium,rum|south-africa,rum,South Africa,,,rum_brands,
Man Up Rum 55% -,man-up-rum,man-up-rum,south-africa,rum,South Africa,,,rum_brands,
MHOBA Rum,mhoba-rum,mhoba-rum,south-africa,rum,South Africa,,,rum_brands,
Whistler African Style Rum,whistler-african-style-rum,whistler-african-style-rum,south-africa,rum,South Africa,,,rum_brands,
Beenleigh,beenleigh,beenleigh,rum|australia,rum,Australia,,,rum_brands|twe_brands,
Brix Distillers,brix-distillers,brix-distillers,rum|australia,rum,Australia,,,rum_brands,
Bundaberg,bundaberg,bundaberg,rum|australia,rum,Australia,,,rum_brands|twe_brands,
Darby-Norris Distillery,darby-norris-distillery,darby-norris-distillery,rum|australia,rum,Australia,,,rum_brands,
Frigate Rum,frigate-rum,frigate-rum,australia,rum,Australia,,,rum_brands,
Hoochery Distillery,hoochery-distillery,hoochery-distillery,rum|australia,rum,Australia,,,rum_brands,
Husk Distillers,husk-distillers,husk-distillers,rum|australia,rum,Australia,,,rum_brands,
Illegal Tender Rum Co.,illegal-tender-rum-co,illegal-tender-rum-co,australia,rum,Australia,,,rum_brands,
Inner Circle Rum,inner-circle-rum,inner-circle-rum,australia,rum,Australia,,,alkohole_wikidata|rum_brands,
Jimmy Rum,jimmy-rum,jimmy-rum,australia,rum,Australia,,,rum_brands,
Killik Handcrafted Rum,killik-handcrafted-rum,killik-handcrafted-rum,australia,rum,Australia,,,rum_brands,
Kimberley Rum Company,kimberley-rum-company,kimberley-rum-company,australia,rum,Australia,,,rum_brands,
Nil Desperandum Rum,nil-desperandum-rum,nil-desperandum-rum,australia,rum,Australia,,,rum_brands,
Rebellion Bay Spiced Rum,rebellion-bay-spiced-rum,rebellion-bay-spiced-rum,australia,rum,Australia,,,rum_brands,
Waterview Distillery,waterview-distillery,waterview-distillery,rum|australia,rum,Australia,,,rum_brands,
Samai Distillery,samai-distillery,samai-distillery,rum|cambodia,rum,Cambodia,,,rum_brands,
Bati,bati,bati,rum|fiji,rum,Fiji,,,rum_brands,
Ratu,ratu,ratu,rum|fiji,rum,Fiji,,,rum_brands,
