keyword,source,bucket,local_q,est_q
pinkus-muller,brands,zero-brands,0,0
ancient-age,brands,zero-brands,0,0
bricout,brands,zero-brands,0,0
sortilege-maple,brands,zero-brands,0,0
coole-swan-irish,brands,zero-brands,0,0
champagne-louis-roederer,brands,zero-brands,0,0
capital-brewing-co,brands,zero-brands,0,0
bankhall,brands,zero-brands,0,0
smirnov-vodka,brands,zero-brands,0,0
albion-brewery,brands,zero-brands,0,0
richoux-irancy,brands,zero-brands,0,0
somerset-cider,brands,zero-brands,0,0
maisel-brau-bamberg,brands,zero-brands,0,0
10-cane,brands,zero-brands,0,0
nega-fulo,brands,zero-brands,0,0
herrenhauser-brewery,brands,zero-brands,0,0
concha-y-toro,brands,zero-brands,0,0
charles-heidsieck,brands,zero-brands,0,0
ableforths,brands,zero-brands,0,0
calisaya,brands,zero-brands,0,0
casa-pecados,brands,zero-brands,0,0
la-mauny,brands,zero-brands,0,0
noyau-de-poissy,brands,zero-brands,0,0
canard-duchene,brands,zero-brands,0,0
meikle-toir,brands,zero-brands,0,0
brevnovsky-monastic-brewery,brands,zero-brands,0,0
sapporo-brewery,brands,zero-brands,0,0
potocki,brands,zero-brands,0,0
royal-salute-whisky,brands,zero-brands,0,0
mainstay-original-premium,brands,zero-brands,0,0
henri-goutorbe,brands,zero-brands,0,0
campbeltown-loch,brands,zero-brands,0,0
j-j-mortier,brands,zero-brands,0,0
nationale-dhaiti-s-a,brands,zero-brands,0,0
cor-cor,brands,zero-brands,0,0
ultimat-vodka,brands,zero-brands,0,0
birra-moretti,brands,zero-brands,0,0
strakonicky-dudak,brands,zero-brands,0,0
two-buck-chuck,brands,zero-brands,0,0
bib-and-tucker,brands,zero-brands,0,0
roubine,brands,zero-brands,0,0
herzoglich-bayerisches-brauhaus-tegernsee,brands,zero-brands,0,0
emperador-inc,brands,zero-brands,0,0
copperworks,brands,zero-brands,0,0
bepi-tosolini,brands,zero-brands,0,0
cacique-guaro,brands,zero-brands,0,0
