keyword,n_positions,local_quantity
oktoberfest,242,28
pale,223,203
imperial,187,240
kuhnhenn,177,0
oatmeal,172,377
great-lakes,158,68
ipa,157,138
india-pale,154,1
founders,147,81
hefeweizen,147,2
amber,137,457
belgian,133,81
willimantic,129,2
barleys,119,0
porter,111,345
maibock,104,1
stone,103,1424
pumpkin,100,231
portsmouth,97,215
bells,88,107
nut-brown,87,0
esb,85,9
black,83,9274
chocolate,82,2155
pilsner,82,4
black-forest,80,28
kolsch,80,3
dunkel,79,11
red,78,6753
brown,76,2205
cambridge-house,76,1
harpoon,74,12
saison,74,1868
drakes,70,24
raspberry-wheat,70,0
blonde,68,450
golden,68,2644
new-holland,68,79
shorts,68,615
stout,68,47
city-steam,67,0
harvest,67,251
irish-red,65,0
smoked,64,337
sweetwater,64,67
hefe,63,24
white-birch,63,2
smuttynose,62,0
brooklyn,61,621
cascade,61,689
allagash,60,1
cream,60,2074
elevator,60,79
arbor-brewing,59,0
columbus,59,363
rye,59,102
summer,58,6639
terrapin,58,5
vienna,58,126
winter,58,1158
double,56,1965
scotch,56,102
octoberfest,55,0
scottish,54,653
southampton,54,356
twains,53,1
alesmith,52,0
dark,52,3757
raspberry,52,348
wheat,52,265
irish,51,984
sierra-nevada,51,30
millys,50,0
thunder-canyon,49,1
dragonmead,48,0
marzen,47,37
winter-warmer,47,1
dark-horse,46,21
christmas,45,1064
craftsman,45,93
honey,45,1037
dunkelweizen,44,0
kirin,44,16
american-pale,43,0
mill-street,43,1
schwarzbier,43,0
stoudts,43,0
weizen,43,6
alt,42,434
anniversary,42,963
doppelbock,42,0
mcneills,42,2
coffee,41,1195
willoughby,41,251
bock,40,32
boscos,40,1
munich,40,259
blue-point,39,5
grizzly-peak,39,1
amsterdam,38,489
cherry,38,587
elm-city,38,0
grand-cru,38,4
helles,37,6
michigan-brewing,37,0
russian-imperial,37,0
weizenbock,37,0
belgian-pale,36,0
gordon-biersch,36,0
heavy-seas,36,0
abbey,35,138
arcadia,35,72
asahi,35,234
black-oak,35,4
brewers-art,35,0
highland,35,304
nils-oscar,35,0
nimbus,35,39
abro,34,0
bourbon-barrel,34,0
green-flash,34,0
lfabrikken,34,0
oppigards,34,0
abita,33,17
carolina,33,2029
heartland-brewery,33,0
blueberry-wheat,32,0
lager,32,72
espresso,31,159
milk,31,797
summit,31,552
altbier,30,1
american,30,5697
blueberry,30,500
extra-special,30,5
honey-wheat,30,1
hopcat,30,0
murrays,30,9
red-brick,30,11
saint-arnold,30,0
adnams,29,0
