position_id,source,name,keyword,variants,alive_variants,max_local_quantity
brands:00005,brands,Savanna,savanna,savanna,savanna:10,10
brands:00007,brands,New Grove,new-grove,new-grove,new-grove:1,1
brands:00009,brands,Pink Pigeon,pink-pigeon,pink-pigeon,pink-pigeon:2,2
brands:00010,brands,Saint-Aubin,saint-aubin,saint-aubin,saint-aubin:11,11
brands:00018,brands,Bundaberg,bundaberg,bundaberg,bundaberg:6,6
brands:00032,brands,Bati,bati,bati,bati:20,20
brands:00033,brands,Ratu,ratu,ratu,ratu:16,16
brands:00034,brands,Old Monk,old-monk,old-monk,old-monk:2,2
brands:00044,brands,Suntory,suntory,suntory|suntory-holdings-limited|suntory-holdings|suntory-holdings-ltd,suntory:6,6
brands:00047,brands,Tanduay,tanduay,tanduay,tanduay:1,1
brands:00058,brands,Cavalier,cavalier,cavalier,cavalier:87,87
brands:00069,brands,Malibu Rum,malibu-rum,malibu-rum,malibu-rum:1,1
brands:00075,brands,Tortuga,tortuga,tortuga,tortuga:19,19
brands:00077,brands,Havana Club,havana-club,havana-club,havana-club:1,1
brands:00087,brands,Barceló,barcelo,barcelo,barcelo:25,25
brands:00088,brands,Bermúdez,bermudez,bermudez,bermudez:8,8
brands:00093,brands,Oliver,oliver,oliver,oliver:386,386
brands:00100,brands,Montebello,montebello,montebello,montebello:15,15
brands:00102,brands,Séverin,severin,severin,severin:23,23
brands:00105,brands,Bologne,bologne,bologne,bologne:6,6
brands:00116,brands,Hampden,hampden,hampden,hampden:25,25
brands:00118,brands,Appleton,appleton,appleton,appleton:38,38
brands:00119,brands,Appleton Estate,appleton-estate,appleton-estate,appleton-estate:1,1
brands:00123,brands,Neisson,neisson,neisson,neisson:1,1
brands:00126,brands,Saint James,saint-james,saint-james,saint-james:11,11
brands:00127,brands,Trois Rivières,trois-rivieres,trois-rivieres,trois-rivieres:14,14
brands:00128,brands,HBS,hbs,hbs,hbs:20,20
brands:00130,brands,JM,jm,jm,jm:103,103
brands:00131,brands,La Favorite,la-favorite,la-favorite,la-favorite:29,29
brands:00132,brands,Bacardi,bacardi,bacardi,bacardi:9,9
