position_id,source,name,keyword,tier,optional,decision,reason,df,opt_recall
brands:00005,brands,Savanna,savanna,drop,,drop,opt_recall<2,10,0
brands:00007,brands,New Grove,new-grove,drop,,drop,opt_recall<2,1,0
brands:00009,brands,Pink Pigeon,pink-pigeon,drop,,drop,opt_recall<2,2,0
brands:00010,brands,Saint-Aubin,saint-aubin,drop,,drop,opt_recall<2,11,0
brands:00018,brands,Bundaberg,bundaberg,drop,,drop,opt_recall<2,6,0
brands:00032,brands,Bati,bati,drop,,drop,opt_recall<2,20,0
brands:00033,brands,Ratu,ratu,drop,,drop,opt_recall<2,16,0
brands:00034,brands,Old Monk,old-monk,drop,,drop,opt_recall<2,2,0
brands:00044,brands,Suntory,suntory,drop,,drop,opt_recall<2,6,1
brands:00047,brands,Tanduay,tanduay,drop,,drop,opt_recall<2,1,0
brands:00058,brands,Cavalier,cavalier,drop,,drop,opt_recall<2,87,0
brands:00069,brands,Malibu Rum,malibu-rum,drop,,drop,opt_recall<2,1,0
brands:00075,brands,Tortuga,tortuga,drop,,drop,opt_recall<2,19,0
brands:00077,brands,Havana Club,havana-club,drop,,drop,opt_recall<2,1,1
brands:00087,brands,Barceló,barcelo,drop,,drop,opt_recall<2,25,0
brands:00088,brands,Bermúdez,bermudez,drop,,drop,opt_recall<2,8,0
brands:00093,brands,Oliver,oliver,drop,,drop,DF>cap_pospolite,386,0
brands:00100,brands,Montebello,montebello,drop,,drop,opt_recall<2,15,0
brands:00102,brands,Séverin,severin,drop,,drop,opt_recall<2,23,0
brands:00105,brands,Bologne,bologne,drop,,drop,opt_recall<2,6,0
brands:00116,brands,Hampden,hampden,drop,,drop,opt_recall<2,25,0
brands:00118,brands,Appleton,appleton,drop,,drop,opt_recall<2,38,1
brands:00119,brands,Appleton Estate,appleton-estate,drop,,drop,opt_recall<2,1,1
brands:00123,brands,Neisson,neisson,drop,,drop,opt_recall<2,1,1
brands:00126,brands,Saint James,saint-james,drop,,drop,opt_recall<2,11,0
brands:00127,brands,Trois Rivières,trois-rivieres,drop,,drop,opt_recall<2,14,0
brands:00128,brands,HBS,hbs,drop,,drop,opt_recall<2,20,0
brands:00130,brands,JM,jm,smiec,,drop,token<=2,103,0
brands:00131,brands,La Favorite,la-favorite,drop,,drop,opt_recall<2,29,0
brands:00132,brands,Bacardi,bacardi,keep,rum|rhum|spirits|spirit,keep,required+optional@1,9,2
brands:00151,brands,Captain Morgan,captain-morgan,drop,,drop,opt_recall<2,1,0
brands:00152,brands,Cruzan,cruzan,drop,,drop,opt_recall<2,5,0
brands:00160,brands,Parce,parce,drop,,drop,opt_recall<2,58,0
brands:00161,brands,Dictador,dictador,drop,,drop,opt_recall<2,20,0
brands:00166,brands,Centenario,centenario,drop,,drop,opt_recall<2,51,1
brands:00169,brands,Ron Zacapa,ron-zacapa,drop,,drop,opt_recall<2,1,1
brands:00170,brands,El Dorado,el-dorado,drop,,drop,opt_recall<2,56,0
brands:00185,brands,Piquero - Premium rum spirit drink,piquero,drop,,drop,opt_recall<2,2,0
brands:00234,brands,Selva Rey Rum,selvarey-rum,drop,,drop,opt_recall<2,1,0
brands:00238,brands,Ron Calero,ron-calero,drop,,drop,opt_recall<2,1,0
brands:00245,brands,Jules Verne,jules-verne,drop,,drop,opt_recall<2,2,0
brands:00247,brands,Papagayo,papagayo,drop,,drop,opt_recall<2,5,0
brands:00252,brands,Cacique,cacique,drop,,drop,opt_recall<2,5,0
brands:00253,brands,Carúpano,carupano,drop,,drop,opt_recall<2,1,0
brands:00254,brands,Diplomático,diplomatico,keep,rum|rhum,keep,required+optional@1,6,2
brands:00257,brands,Ocumare,ocumare,drop,,drop,opt_recall<2,2,0
brands:00259,brands,Dinastia,dinastia,drop,,drop,opt_recall<2,11,0
brands:00262,brands,Barrica,barrica,drop,,drop,opt_recall<2,1,0
brands:00263,brands,Stroh – flavored rum,stroh,drop,,drop,opt_recall<2,8,0
brands:00270,brands,Pott,pott,drop,,drop,opt_recall<2,4,0
brands:00283,brands,Chic Choc,chic-choc,drop,,drop,opt_recall<2,2,0
brands:00289,brands,Lost Spirits,lost-spirits,drop,,drop,opt_recall<2,2,0
brands:00294,brands,Dogfish Head,dogfish-head,drop,,drop,opt_recall<2,3,0
brands:00328,brands,Privateer,privateer,drop,,drop,opt_recall<2,8,0
brands:00360,brands,Lamb's,lambs,drop,,drop,opt_recall<2,34,0
brands:00363,brands,Negrita,negrita,drop,,drop,opt_recall<2,8,0
brands:00393,brands,Marin,marin,drop,,drop,DF>cap_pospolite,264,0
brands:00398,brands,Barra,barra,drop,,drop,opt_recall<2,129,0
brands:00399,brands,Beefeater,beefeater,drop,,drop,opt_recall<2,1,1
brands:00400,brands,Blackwood's,blackwoods,drop,,drop,opt_recall<2,2,0
brands:00402,brands,The Botanist,the-botanist,drop,,drop,opt_recall<2,1,0
brands:00403,brands,Bombay Sapphire,bombay-sapphire,drop,,drop,opt_recall<2,1,1
brands:00409,brands,Citadelle,citadelle,drop,,drop,opt_recall<2,4,0
