name,location
Negrita,Metropolitan France
BOWS Distillery,Metropolitan France
Distillery O'Baptiste,Metropolitan France
Distillery Coqlicorne,Metropolitan France
Distillery Castan,Metropolitan France
Distillery Moon Harbour,Metropolitan France
Distillery ERIKA,Metropolitan France
Bologne,Guadeloupe
Damoiseau,Guadeloupe
Montebello,Guadeloupe
Mon Repos,Guadeloupe
Longueteau,Guadeloupe
Père Labat,Guadeloupe
Séverin,Guadeloupe
Rhum Saint-Maurice,French Guiana
Rhum Charette,La Réunion
Riviere du Mat,La Réunion
Savanna,La Réunion
Tank Rum,La Réunion
Rhum Clément,Martinique
Rhum Dillon,Martinique
Rhum du Père Labat,Martinique
Rhum J.M.,Martinique
Habitation Saint-Etienne,Martinique
J. Bally,Martinique
La Mauny,Martinique
Neisson distillery,Martinique
Rhum Depaz,Martinique
Saint James,Martinique
Trois Rivières,Martinique
R. St Barth,Saint Barthélemy
