brand,extraInfo
Archie Rose Distilling Co.,Sydney microdistillery
Aviation American Gin,"Oregon, US, one of the early New Western style gins"
Barra,Scotland
Beefeater,"England, first produced in 1820"
Blackwood's,Scotland
BOLS Damrak,"Netherlands, jenever"
The Botanist,"Hebridean island of Islay, Scotland, made with 31 botanicals, 22 being native to the island"
Bombay Sapphire,"England, distilled with ten botanicals"
Boodles British Gin,England
Booth's Gin,England
Broker's Gin,England
Brecon Gin,Wales
Catoctin Creek,"organic gin from Virginia, US"
Citadelle,France
Cork Dry Gin,Ireland
Edinburgh Gin,"Scotland, distillery and visitor attraction in Edinburgh"
Gilbey's,England
Gilpin's Westmorland Extra Dry Gin,England
Ginebra San Miguel,Philippines
Gordon's,"England, first distilled in 1763"
Greenall's,England
Hendrick's Gin,"Scotland, infused with flavours of cucumber and rose petal"
Isle of Harris,Scotland
Isle of Raasay,Scotland
Konig's Westphalian Gin,Germany
Leopolds Gin,"Colorado, US"
Lind & Lime,"Scotland, distillery and visitor attraction in Leith, Edinburgh"
Masons Gin,"North Yorkshire, England"
Nicholson's,"England, made in London from 1730"
Nine Isles Gin,"Caribbean, St Vincent and the Grenadines"
Plymouth,"England, first distilled in 1793"
Pickering's Gin,"Scotland, from Edinburgh's first gin distillery in 150 years"
Sacred Microdistillery,"England, from one of London's new micro-distilleries"
Seagram's,"Quebec, Canada"
Sipsmith,England
Smeets,"Belgium, jenever"
Steinhäger,Germany
St. George,"California, US"
Taaka,"Louisiana, US"
Tanqueray,"England, first distilled in 1830"
Uganda Waragi,"Uganda, triple distilled Waragi"
Vickers,South Australia
Whitley Neill Gin,England
