brand,country
Kwilu Rum,Democratic Republic of Congo
Safari Rum,Kenya
Rhum Charrette,La Réunion
Riviere du Mat,La Réunion
Savanna,La Réunion
Groupe Vidzar,Madagascar
New Grove,Mauritius
Penny Blue,Mauritius
Pink Pigeon,Mauritius
Saint-Aubin,Mauritius
Takamaka,Seychelles
Mainstay Original Premium,South Africa
Man Up Rum 55% -,South Africa
MHOBA Rum,South Africa
Whistler African Style Rum,South Africa
Beenleigh,Australia
Brix Distillers,Australia
Bundaberg,Australia
Darby-Norris Distillery,Australia
Frigate Rum,Australia
Hoochery Distillery,Australia
Husk Distillers,Australia
Illegal Tender Rum Co.,Australia
Inner Circle Rum,Australia
Jimmy Rum,Australia
Killik Handcrafted Rum,Australia
Kimberley Rum Company,Australia
Nil Desperandum Rum,Australia
Rebellion Bay Spiced Rum,Australia
Waterview Distillery,Australia
Samai Distillery,Cambodia
Bati,Fiji
Ratu,Fiji
Old Monk,India
McDowell's No.1 Celebration,India
Amrut,India
Radico Khaitan,India
Cor Cor,Japan
Helios Distillery,Japan
Kikusui Shuzo,Japan
Mizuho Shuzo,Japan
Nine Leaves,Japan
Ogasawara Rum,Japan
Suntory,Japan
Takaoka Jozo,Japan
Bleeding Heart Rum Company,Philippines
Tanduay,Philippines
Khukri Rum,Nepal
Khukri Spice,Nepal
Grenada Bay,New Zealand
Lunatic and Lover,New Zealand
LWF Distilling,New Zealand
The NZ Rum Co.,New Zealand
Koxinga Gold Rum,Taiwan
Sang Som,Thailand
Issan,Thailand
The Distillery Phuket,Thailand
Cavalier,Antigua and Barbuda
English Harbour,Antigua and Barbuda
Luna Rum,Bahamas
John Watling's,Bahamas
Ole Nassau,Bahamas
The Mount Gay Rum Distillery,Barbados
West Indies Rum Distillery,Barbados
Foursquare Rum Distillery,Barbados
St Nicholas Abbey,Barbados
Bumbu Rum,Barbados
Cockspur Rum,Barbados
Malibu Rum,Barbados
Old Brigand Rum,Barbados
Pusser's Ltd.,British Virgin Islands
7 Fathoms,Cayman Islands
Edward Teach,Cayman Islands
Blackbeards,Cayman Islands
Tortuga,Cayman Islands
Ron Cubay,Cuba
Havana Club,Cuba
Conde de Cuba,Cuba
Ron Vigia,Cuba
Ron Caney,Cuba
Ron Arecha,Cuba
Ron Edmundo Dantes,Cuba
Ron Legendario,Cuba
Ron Mulata,Cuba
Ron Santiago de Cuba,Cuba
Ron Varadero,Cuba
Barceló,Dominican Republic
Bermúdez,Dominican Republic
Brugal,Dominican Republic
Matusalem,Dominican Republic
Candela Mamajuana,Dominican Republic
Siboney,Dominican Republic
Oliver,Dominican Republic
Macorix,Dominican Republic
Clark's Court,Grenada
Westerhall,Grenada
Rivers Rum,Grenada
Bielle,Guadeloupe
Damoiseau,Guadeloupe
Montebello,Guadeloupe
Père Labat,Guadeloupe
Séverin,Guadeloupe
Longueteau,Guadeloupe
Reimonenq,Guadeloupe
Bologne,Guadeloupe
Papa Rouyo,Guadeloupe
Rhum Barbancourt,Haiti
Rhum Vieux Labbé,Haiti
Rhum 1716,Haiti
J. Wray and Nephew,Jamaica
Myers's,Jamaica
Rum-bar rum,Jamaica
The Rum Company,Jamaica
Old Pascas,Jamaica
Worthy Park,Jamaica
Hampden,Jamaica
Smith & Cross,Jamaica
Appleton,Jamaica
Appleton Estate,Jamaica
Habitation Saint-Etienne,Martinique
J. Bally,Martinique
La Mauny,Martinique
Neisson,Martinique
Rhum Clément,Martinique
Rhum Dillon,Martinique
Saint James,Martinique
Trois Rivières,Martinique
HBS,Martinique
A1710,Martinique
JM,Martinique
La Favorite,Martinique
Bacardi,Puerto Rico
Don Q,Puerto Rico
Ron del Barrilito,Puerto Rico
Club Caribe Destillers,Puerto Rico
Belmont Estate Rum,Saint Kitts and Nevis
Cane Spirit Rothschild,Saint Kitts and Nevis
Chairman's Reserve Rum,Saint Lucia
Bounty Rum,Saint Lucia
Rum 1931,Saint Lucia
Rum Admiral Rodney,Saint Lucia
TOZ rum,Saint Lucia
St. Vincent Distillers Ltd.,Saint Vincent and the Grenadines
Topper's Rhum Distillery,Sint Maarten
10 Cane,Trinidad and Tobago
Angostura Rums,Trinidad and Tobago
Fernandes Rums,Trinidad and Tobago
Island Company Rum,Trinidad and Tobago
Kraken Rum,Trinidad and Tobago
Forres Park Puncheon,Trinidad and Tobago
Captain Morgan,US Virgin Islands
Cruzan,US Virgin Islands
3 Queens Distillery,US Virgin Islands
A.H. Riise,US Virgin Islands
Isla Ñ Rum,Argentina
"Travellers Liquors, Ltd.",Belize
"L&R Liquors, Ltd.",Belize
Oronoco Rum,Brazil
Señor Weber Rum,Brazil
Parce,Colombia
Dictador,Colombia
Ron de Caldas,Colombia
Ron Medellín,Colombia
Ron Hechicera,Colombia
Ron Santa Fé,Colombia
Centenario,Costa Rica
Ron Cihuatán,El Salvador
Ron Botran,Guatemala
Ron Zacapa,Guatemala
El Dorado,Guyana
Pyrat Rum,Guyana
Royal Rum,Guyana
Pirate's Grog Rum,Honduras
Ron Bacardí,Mexico
Ron Huasteco Potosí,Mexico
Ron La Gloria,Mexico
Ron Macollo,Mexico
Ron Mocambo,Mexico
Ron MK,Mexico
Ron Prohibido,Mexico
Alambique Serrano,Mexico
Flor de Caña,Nicaragua
Ron Mombacho,Nicaragua
Ron Zapatera,Nicaragua
Piquero - Premium rum spirit drink,Panama
ARÔME Rum,Panama
1914 Edicion Gatun Rum,Panama
Cabeza de Vaca Rum,Panama
El Puro Rum,Panama
Don Esteban Rum,Panama
La Marelita Rum,Panama
Isla de Cañas by Don Pancho Rum,Panama
Comandante Overproof Rum,Panama
Portobelo Rum,Panama
Woldorff Private Cask Rum,Panama
La Cruz Vintage 1981 Rum,Panama
Isla de Coiba Rum,Panama
Yolo Rum,Panama
Contadora Rum,Panama
Canalero Rum,Panama
Casa Barú Rum,Panama
Ron Durán,Panama
Calicos Crew Rum,Panama
Carta Vieja Rum,Panama
Pacifico Rum,Panama
Pedro Mandinga Rum,Panama
Bohemio Rum,Panama
Malecon Rum,Panama
Ron El Galante,Panama
Ron Castelauro,Panama
Ron de Jeremy Rum,Panama
Compañero Rum,Panama
Santa Rosa Rum,Panama
Panama Red Rum,Panama
Panama Pacific Rum,Panama
Cortez Rum,Panama
Naud Rum,Panama
Isla del Ron Panama Rum,Panama
Zahara Rum,Panama
Ron Panama Rum,Panama
Nativo Rum,Panama
Serum Rum,Panama
Kuna Rum,Panama
