wikidata,name,keyword,keyword_variants,types,makers,countries
Q1032091,Canadian Club,canadian-club,canadian-club|cc,trademark | alcoholic beverage | drink brand | alcohol brand,Suntory Global Spirits,Canada
Q1041750,Carling,carling,carling|carling-brewery,alcohol brand | beer brand | mark | trademark | food manufacturer | factory | brewery,,
Q1054167,Centre Vinicole—Champagne Nicolas Feuillatte,centre-vinicole-champagne-nicolas-feuillatte,centre-vinicole-champagne-nicolas-feuillatte|champagne-nicolas-feuillatte|nicolas-feuillatte|cv-cnf|tevc,corporate body | person or organization | group of humans | social system | complex system | organization,,France
Q1056430,HEINEKEN Mexico,heineken-mexico,heineken-mexico|cerveceria-cuauhtemoc-moctezuma|cuauhtemoc-moctezuma|cuauhtemoc-moctezuma-brewery,juridical person | organization | business | factory | brewery | food manufacturer,,
Q1061081,Pol Roger,pol-roger,pol-roger|champagne-pol-roger,corporate body | person or organization | group of humans | social system | complex system | organization,,France
Q1068671,Martini,martini,martini,alcoholic beverage | apéritif,Alessandro Martini,Italy
Q12675746,Utenos Alus,utenos-alus,utenos-alus|utenos-alus-brewery,food manufacturer | factory | brewery,,
Q12680342,Švyturys,svyturys,svyturys|svyturys-brewery|svyturys-ab,food manufacturer | factory | brewery,,
Q13403399,Kirin Holdings,kirin-holdings,kirin-holdings|kirin|kirin-beer,business | enterprise | joint-stock company | public company | company | holding company,,
Q107292901,Stonewell Cider,stonewell-cider,stonewell-cider|nohoval-drinks-company-ltd|nohoval-drinks-company|nohoval-drinks|nohoval,brewery | fruit press | business | architectural structure | organization | microbrewery | cider mill,,
Q124570849,Capital Brewing Company,capital-brewing-company,capital-brewing-company|capital-brewing|capital|capital-brewing-co,food manufacturer | factory | brewery,,
Q128834244,Minneapolis Brewing Company Building,minneapolis-brewing-company-building,minneapolis-brewing-company-building|minneapolis-brewing-company|minneapolis-brewing|minneapolis,industrial building | brewery building,,
Q132165886,Spaghett,spaghett,spaghett|spagett,mixed drink | alcoholic beverage | cocktail,,
Q136035403,ZOA Energy,zoa-energy,zoa-energy|zoa-energy-drink-zoa,artificial object | brand,,
Q136169052,Real American Beer,real-american-beer,real-american-beer|rab,beer brand | alcohol brand | food manufacturer | factory | brewery,City Brewing Company,United States
Q136172441,Fierce Beer,fierce-beer,fierce-beer|fierce,juridical person | organization | business | food manufacturer | factory | brewery,,
Q138846018,Zirkova Vodka,zirkova-vodka,zirkova-vodka|slava|zirkova,artificial object | brand,,
Q12221,Starobrno Brewery,starobrno-brewery,starobrno-brewery|starobrno,juridical person | organization | enterprise | business | food manufacturer | factory | brewery,,
Q1146659,Cuvée des Trolls,cuvee-des-trolls,cuvee-des-trolls,alcohol brand | beer brand,Dubuisson Brewery,Belgium
Q1150860,Cîroc,ciroc,ciroc|ciroc-vodka,drink brand | trademark | alcoholic beverage | alcohol brand | mark,,United Kingdom | Italy
Q1154182,Delamain,delamain,delamain|delamain-cognac,corporate body | person or organization | group of humans | social system | complex system | organization,,
Q1180058,DeKuyper,dekuyper,dekuyper|dekuyper-royal-distillers|dekuyper-royal|koninklijke-de-kuyper,business | juridical person | organization | enterprise,,
Q1238088,DB Breweries,db-breweries,db-breweries|db|dominion-breweries|dominion|dominion-breweries-limited,juridical person | organization | business,,
Q1259448,Mount Gay Rum,mount-gay-rum,mount-gay-rum|mount-gay,mark | trademark,,Barbados
Q1329485,H. P. Bulmer,h-p-bulmer,h-p-bulmer|bulmers|hp-bulmer|hp-bulmers,business | juridical person | organization | enterprise,,
