brand,extraInfo,keyword
Archie Rose Distilling Co.,Sydney microdistillery,archie-rose-distilling-co
Aviation American Gin,"Oregon, US, one of the early New Western style gins",aviation-american-gin
Barra,Scotland,barra
Beefeater,"England, first produced in 1820",beefeater
Blackwood's,Scotland,blackwoods
BOLS Damrak,"Netherlands, jenever",bols-damrak
The Botanist,"Hebridean island of Islay, Scotland, made with 31 botanicals, 22 being native to the island",the-botanist
Bombay Sapphire,"England, distilled with ten botanicals",bombay-sapphire
Boodles British Gin,England,boodles-british-gin
Booth's Gin,England,booths-gin
Broker's Gin,England,brokers-gin
Brecon Gin,Wales,brecon-gin
Catoctin Creek,"organic gin from Virginia, US",catoctin-creek
Citadelle,France,citadelle
Cork Dry Gin,Ireland,cork-dry-gin
Edinburgh Gin,"Scotland, distillery and visitor attraction in Edinburgh",edinburgh-gin
Gilbey's,England,gilbeys
Gilpin's Westmorland Extra Dry Gin,England,gilpins-westmorland-extra-dry-gin
Ginebra San Miguel,Philippines,ginebra-san-miguel
Gordon's,"England, first distilled in 1763",gordons
Greenall's,England,greenalls
Hendrick's Gin,"Scotland, infused with flavours of cucumber and rose petal",hendricks-gin
Isle of Harris,Scotland,isle-of-harris
Isle of Raasay,Scotland,isle-of-raasay
Konig's Westphalian Gin,Germany,konigs-westphalian-gin
Leopolds Gin,"Colorado, US",leopolds-gin
Lind & Lime,"Scotland, distillery and visitor attraction in Leith, Edinburgh",lind-lime
Lind & Lime,"Scotland, distillery and visitor attraction in Leith, Edinburgh",lind-and-lime
Masons Gin,"North Yorkshire, England",masons-gin
Nicholson's,"England, made in London from 1730",nicholsons
Nine Isles Gin,"Caribbean, St Vincent and the Grenadines",nine-isles-gin
Plymouth,"England, first distilled in 1793",plymouth
Pickering's Gin,"Scotland, from Edinburgh's first gin distillery in 150 years",pickerings-gin
Sacred Microdistillery,"England, from one of London's new micro-distilleries",sacred-microdistillery
Seagram's,"Quebec, Canada",seagrams
Sipsmith,England,sipsmith
Smeets,"Belgium, jenever",smeets
Steinhäger,Germany,steinhager
St. George,"California, US",st-george
Taaka,"Louisiana, US",taaka
Tanqueray,"England, first distilled in 1830",tanqueray
Uganda Waragi,"Uganda, triple distilled Waragi",uganda-waragi
Vickers,South Australia,vickers
Whitley Neill Gin,England,whitley-neill-gin
