category,brand,keyword
Chocolate liqueur,Afrikoko,afrikoko
Chocolate liqueur,Ashanti Gold,ashanti-gold
Chocolate liqueur,Bicerin Di Giandujotto,bicerin-di-giandujotto
Chocolate liqueur,Godiva Dark Chocolate,godiva-dark-chocolate
Chocolate liqueur,Intramuros Liqueur de Cacao,intramuros
Chocolate liqueur,Liqueur Fogg,fogg
Chocolate liqueur,Mozart Black,mozart-black
Chocolate liqueur,OM Dark Chocolate & Sea Salt Liqueur,om-dark-chocolate-sea-salt
Chocolate liqueur,Royal Mint-Chocolate Liqueur,royal-mint-chocolate
Chocolate liqueur,Sabra liqueur,sabra
Chocolate liqueur,Thornton's Chocolate Liqueur,thorntons-chocolate
Chocolate liqueur,Mon Chéri,mon-cheri
Chocolate cream liqueur,Cadbury Cream Liqueur,cadbury
Chocolate cream liqueur,Dooley's White Chocolate Cream Liqueur,dooleys-white-chocolate
Chocolate cream liqueur,Dorda Double Chocolate Liqueur,dorda-double-chocolate
Chocolate cream liqueur,Dwersteg's Organic Chocolate Cream Liqueur,dwerstegs-organic-chocolate
Chocolate cream liqueur,Godiva White Chocolate,godiva-white-chocolate
Chocolate cream liqueur,Hotel Chocolat Velvetised Chocolate Cream,hotel-chocolat-velvetised-chocolate
Chocolate cream liqueur,Florcello Chocolate Orange Cream Liqueur,florcello-chocolate-orange
Chocolate cream liqueur,Mozart Gold Chocolate Cream Liqueur,mozart-gold-chocolate
Chocolate cream liqueur,Mozart White Chocolate Cream Liqueur,mozart-white-chocolate
Chocolate cream liqueur,Vana Tallinn Chocolate Cream,vana-tallinn-chocolate
Chocolate cream liqueur,Vermeer Dutch Chocolate Cream Liqueur,vermeer-dutch-chocolate
Coffee liqueurs,Allen's Coffee Brandy,allens
Coffee liqueurs,Amaro 1716 Café du Soir,amaro-1716-cafe-du-soir
Coffee liqueurs,Richardo's Decaf Coffee Liqueur,richardos-decaf
Coffee liqueurs,Café Rica,cafe-rica
Coffee liqueurs,Caffè Borghetti,caffe-borghetti
Coffee liqueurs,Cazcabel,cazcabel
Coffee liqueurs,Kahlúa,kahlua
Coffee liqueurs,Kamok,kamok
Coffee liqueurs,Kamora,kamora
Coffee liqueurs,Kavalan Distillery Sweet coffee liqueur,kavalan-distillery-sweet
Coffee liqueurs,Kapali Coffee Liqueur,kapali
Coffee liqueurs,Liqueurious Coffea Coffee Liqueur,liqueurious-coffea
Coffee liqueurs,Liqueurious Coffea Decaf Coffee Liqueur,liqueurious-coffea-decaf
Coffee liqueurs,Licor de café,licor-de-cafe
Coffee liqueurs,Midnight Espresso Regular Coffee Liqueur,midnight-espresso-regular
Coffee liqueurs,Midnight Espresso Decaf Coffee Liqueur,midnight-espresso-decaf
Coffee liqueurs,Mr Black Cold Brew Coffee Liqueur,mr-black-cold-brew
Coffee liqueurs,Mr Black Cold Brew Coffee Amaro,mr-black-cold-brew
Coffee liqueurs,Patrón XO Cafe,patron-xo-cafe
Coffee liqueurs,Sabroso,sabroso
Coffee liqueurs,Sheridan's,sheridans
Coffee liqueurs,Sombai Anise & Coffee rice liqueur,sombai-anise
Coffee liqueurs,Flor de Caña Spresso,flor-de-cana-spresso
Coffee liqueurs,San Andre,san-andre
Coffee liqueurs,St. George Spirits NOLA Coffee Liqueur,st-george-spirits-nola
Coffee liqueurs,Tia Maria,tia-maria
Coffee liqueurs,Toussaint Coffee Liqueur,toussaint
Coffee liqueurs,B52 Coffee Liqueur,b52
Cream liqueurs,Advocaat,advocaat
Cream liqueurs,Amarula,amarula
Cream liqueurs,Baileys Irish Cream,baileys-irish
Cream liqueurs,Coole Swan Irish Cream Liqueur,coole-swan-irish
Cream liqueurs,Carolans Irish Cream,carolans-irish
Cream liqueurs,Crema Fina,crema-fina
Cream liqueurs,Cruzan Rum Cream,cruzan-rum
Cream liqueurs,Dooley's,dooleys
Cream liqueurs,DV8 Gold,dv8-gold
Cream liqueurs,DV8 Pink Gin,dv8-pink-gin
Cream liqueurs,Heather Cream,heather
Cream liqueurs,Kerrygold Irish Cream Liqueur,kerrygold-irish
Cream liqueurs,Malibu,malibu
Cream liqueurs,Ponche crema,ponche-crema
Cream liqueurs,Rompope,rompope
Cream liqueurs,RumChata,rumchata
Cream liqueurs,Sangster's,sangsters
Cream liqueurs,Saint Brendan's Irish Cream Liqueur,saint-brendans-irish
Cream liqueurs,Tequila Rose,tequila-rose
Cream liqueurs,Vana Tallinn Cream,vana-tallinn
Cream liqueurs,Vodkow Cream Liqueur,vodkow
Cream liqueurs,Voodoo Cream Liqueur,voodoo
Crème liqueurs,Crème de banane,creme-de-banane
Crème liqueurs,Crème de cacao,creme-de-cacao
Crème liqueurs,Crème de cassis,creme-de-cassis
Crème liqueurs,Crème de Cerise,creme-de-cerise
Crème liqueurs,Crème de menthe,creme-de-menthe
Crème liqueurs,Crème de Noyaux,creme-de-noyaux
Crème liqueurs,Creme de violette,creme-de-violette
Crème liqueurs,Creme Yvette,creme-yvette
Crème liqueurs,Parfait d'Amour,parfait-damour
Flower liqueurs,Crème de violette,creme-de-violette
Flower liqueurs,Rosolio,rosolio
Flower liqueurs,Italicus,italicus
Flower liqueurs,St-Germain,st-germain
Berry liqueurs,Chambord,chambord
Berry liqueurs,Guavaberry,guavaberry
Berry liqueurs,Hideous,hideous
Berry liqueurs,Lakka,lakka
Berry liqueurs,Lillehammer,lillehammer
Berry liqueurs,Mirto,mirto
Berry liqueurs,Mouse Kingdom Liqueurs,mouse-kingdom-liqueurs
Berry liqueurs,Murtado,murtado
Berry liqueurs,XUXU,xuxu
Berry liqueurs,Og natura Stone Bramble Liqueur,og-natura-stone-bramble
