brand,extraInfo,keyword
1519 Tequila,2013,1519-tequila
1800 Tequila,1975,1800-tequila
4 Copas,,4-copas
Avión tequila,,avion-tequila
Casamigos,2013,casamigos
Casa Dragones,2009,casa-dragones
Casa Noble,1776,casa-noble
Chaya tequila,,chaya-tequila
Corralejo,,corralejo
Corzo,,corzo
Cruz Tequila,2005,cruz-tequila
DeLeón Tequila,2008,deleon-tequila
Don Julio,1942,don-julio
Dos Lunas Tequila,2006,dos-lunas-tequila
El Tesoro tequila,1990,el-tesoro-tequila
Espolon,1998,espolon
El Jimador,,el-jimador
Hacienda San José de Miravalle,"1870, defunct",hacienda-san-jose-de-miravalle
Herradura,1870s,herradura
Hornitos,1950,hornitos
Jose Cuervo,1795,jose-cuervo
Kirkland Signature,,kirkland-signature
Lunazul,2002,lunazul
Maestro Dobel Tequila,2008,maestro-dobel-tequila
Olmeca Tequila,1967,olmeca-tequila
Patrón,1989,patron
San José Tequila,,san-jose-tequila
Santera Tequila,2015,santera-tequila
Sauza Tequila,1873,sauza-tequila
Señor Río,2009,senor-rio
Sol de Mexico Tequila,1950s,sol-de-mexico-tequila
Tequila 125,2008,tequila-125
Tres Agaves,2008,tres-agaves
Tres Generaciones,1973,tres-generaciones
